Security|Password Generator
Utilities|QR Code Generator
API|Weather API Client
File|PDF Merger
Image|Image Resizer
Utilities|Expense Tracker
CLI|Command Line Calculator
Utilities|JSON Formatter
File|CSV Reader and Analyzer
File|File Organizer by Extension
File|Duplicate File Finder
Automation|Clipboard Manager
Automation|Bulk File Renamer
Networking|Port Scanner
Networking|Simple HTTP Server
API|Currency Converter
Web|Website Uptime Checker
Web|Simple Web Scraper
Automation|Email Sender
Automation|Automated Backup Script
File|Directory Tree Printer
Utilities|Unit Converter
Utilities|Markdown to HTML Converter
CLI|To-Do List CLI App
Games|Number Guessing Game
Games|Rock Paper Scissors
Games|Hangman Game
Games|Tic Tac Toe
AI|Text Summarizer
AI|Sentiment Analyzer
